Reigon,Percentage of Population who own/use crypto,Real GDP growth (Annual percent change)
Argentina,35,4
Australia,18,3.8
Austria,14,4.7
Belgium,15,2.4
Brazil,24,2.8
Canada,14,3.3
Chile,14,2
China,9,3.2
Colombia,16,7.6
Czechia,13,1.9
Denmark,12,2.6
Dominican Republic,15,5.3
Egypt,14,6.6
Finland,12,2.1
France,9,2.5
Germany,12,1.5
Greece,18,5.2
Hong Kong,16,-0.8
Hungary,12,5.7
India,25,6.8
Indonesia,19,5.3
Ireland,15,9
Israel,10,6.1
Italy,11,3.2
Japan,13,1.7
Kenya,19,5.3
Lithuania,14,1.8
Malaysia,20,5.4
Mexico,13,2.1
Morocco,12,0.8
Netherlands,20,4.5
New Zealand,15,2.3
Nigeria,45,3.2
Norway,15,3.6
Pakistan,19,6
Peru,14,2.7
Philippines,29,6.5
Poland,11,3.8
Portugal,15,6.2
Romania,14,4.8
Saudi Arabia,20,7.6
Serbia,13,3.5
Singapore,25,3
South Africa,24,2.1
Spain,16,4.3
Sweden,11,2.6
Switzerland,20,2.2
Taiwan,14,3.3
Thailand,44,2.8
Turkey,40,5
United Arab Emirates,34,5.1
United Kingdom,11,3.6
United States,16,1.6
Vietnam,27,7