,Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index
Minnesota,.,8.82,11.47,17.49,14.50,10.24,1.81,-12.65,21.62,2.49,2.27,3.08,4.34,3.86,3.31,1.28,2.46,2.08,2.84,3.40,5.96,4.14,4.98,4.64,7.32,11.96,9.03,7.73,4.59,8.55,8.12,2.73,-0.78,-4.42,-6.14,-6.06,-5.34,-1.48,3.99,5.71,3.31,4.62,5.83,5.66,4.05,2.55,9.55,100.0,108.82,121.31,142.53,163.2,179.91,183.16,159.99,194.57,199.42,203.95,210.24,219.37,227.83,235.37,238.39,244.25,249.32,256.41,265.13,280.94,292.57,307.15,321.39,344.91,386.15,421.01,453.55,474.36,514.91,556.73,571.92,567.48,542.43,509.14,478.27,452.74,446.03,463.85,490.34,506.56,529.96,560.85,592.58,616.58,632.32,692.73
Mississippi,.,3.89,4.18,14.36,12.37,0.61,3.48,5.90,2.85,2.11,5.71,1.21,-0.27,-0.98,0.82,0.92,1.31,2.74,2.25,5.01,4.87,3.34,3.80,4.09,4.34,3.52,4.20,1.98,1.86,3.52,5.43,8.68,4.43,-0.24,-2.84,-3.61,-2.07,-0.71,-0.26,1.69,2.45,2.57,2.11,2.99,3.10,2.36,8.37,100.0,103.89,108.23,123.77,139.07,139.92,144.79,153.33,157.7,161.02,170.21,172.26,171.79,170.1,171.49,173.07,175.33,180.14,184.2,193.42,202.84,209.62,217.59,226.48,236.31,244.64,254.9,259.96,264.8,274.13,289.0,314.09,327.99,327.2,317.89,306.41,300.07,297.92,297.14,302.17,309.56,317.51,324.22,333.92,344.27,352.4,381.9
Missouri,.,5.80,9.43,15.12,11.05,5.93,-1.43,0.24,5.60,6.41,5.78,4.77,5.13,3.45,2.23,0.45,1.03,1.53,1.39,3.66,5.63,3.70,4.10,3.20,4.32,6.41,5.51,4.46,2.75,5.73,6.43,4.07,1.50,-1.61,-3.31,-3.55,-3.15,-1.17,0.35,2.57,3.38,4.11,4.50,5.03,4.61,3.48,10.98,100.0,105.8,115.78,133.28,148.01,156.78,154.54,154.9,163.58,174.07,184.13,192.9,202.79,209.8,214.47,215.44,217.65,220.98,224.04,232.25,245.33,254.4,264.82,273.3,285.12,303.39,320.11,334.39,343.6,363.28,386.65,402.38,408.41,401.83,388.52,374.74,362.94,358.69,359.95,369.21,381.68,397.36,415.23,436.13,456.24,472.12,523.94
Montana,.,10.66,15.40,20.91,10.55,4.91,-0.27,5.80,-1.98,12.23,-0.58,-2.74,-4.28,1.28,2.73,4.12,6.30,7.49,9.36,8.85,7.80,4.19,3.11,2.42,2.48,4.44,4.63,4.81,4.59,8.92,12.54,11.23,6.48,1.38,-2.75,-4.75,-3.02,0.89,3.44,4.77,3.54,3.42,5.41,5.86,4.87,4.29,15.46,100.0,110.66,127.7,154.4,170.69,179.08,178.59,188.95,185.2,207.86,206.66,201.0,192.39,194.85,200.18,208.43,221.56,238.16,260.44,283.49,305.6,318.42,328.32,336.26,344.61,359.92,376.59,394.69,412.83,449.66,506.03,562.88,599.37,607.64,590.91,562.86,545.85,550.72,569.65,596.82,617.96,639.11,673.66,713.12,747.87,779.99,900.57
Nebraska,.,7.83,10.79,11.77,12.01,7.57,0.72,6.13,1.58,1.96,0.60,1.52,0.30,1.20,3.08,3.74,3.00,3.55,4.54,5.91,6.83,4.70,5.43,3.70,4.00,4.21,3.64,2.60,1.73,4.44,4.48,1.92,1.09,-0.51,-0.74,-0.91,-0.48,0.62,2.35,3.80,3.91,4.19,5.76,5.16,5.09,2.88,10.45,100.0,107.83,119.47,133.53,149.57,160.9,162.06,171.99,174.71,178.13,179.2,181.93,182.48,184.66,190.34,197.46,203.37,210.59,220.16,233.17,249.1,260.81,274.97,285.14,296.55,309.02,320.27,328.61,334.31,349.16,364.82,371.83,375.89,373.97,371.2,367.84,366.08,368.37,377.01,391.33,406.63,423.69,448.1,471.24,495.22,509.47,562.7
Nevada,.,10.64,14.19,20.18,18.77,5.70,12.03,5.26,-2.16,-0.16,1.22,3.67,1.14,2.46,4.93,7.47,5.61,3.13,1.88,1.45,4.12,2.38,2.54,2.29,1.37,3.66,6.39,6.27,6.20,26.53,24.28,8.79,-3.17,-18.58,-23.21,-14.22,-12.05,-1.07,15.05,17.51,9.71,9.35,9.45,12.84,6.41,3.16,15.79,100.0,110.64,126.33,151.82,180.32,190.59,213.52,224.76,219.9,219.55,222.23,230.38,233.01,238.74,250.51,269.24,284.35,293.24,298.76,303.1,315.59,323.09,331.3,338.88,343.51,356.09,378.83,402.58,427.56,540.98,672.34,731.43,708.26,576.67,442.85,379.88,334.09,330.52,380.26,446.85,490.23,536.09,586.73,662.06,704.51,726.79,841.53
New Hampshire,.,2.31,11.06,7.53,20.30,6.72,5.03,6.55,4.95,15.52,16.82,18.52,12.76,4.86,0.37,-6.46,-8.45,-3.60,-1.15,-0.33,1.43,3.00,3.52,5.97,7.72,14.91,11.22,10.80,7.06,11.00,10.64,2.92,-1.69,-3.90,-7.46,-4.30,-3.21,-2.42,0.73,3.91,3.56,3.92,5.53,6.05,5.06,4.91,14.03,100.0,102.31,113.63,122.18,146.99,156.87,164.75,175.54,184.24,212.82,248.62,294.67,332.26,348.39,349.69,327.12,299.48,288.7,285.37,284.42,288.49,297.14,307.6,325.96,351.14,403.47,448.75,497.21,532.29,590.83,653.68,672.8,661.42,635.63,588.23,562.96,544.91,531.74,535.61,556.55,576.37,598.96,632.09,670.33,704.23,738.83,842.52
New Jersey,.,2.95,5.06,10.80,18.07,13.12,7.23,3.10,5.54,14.56,13.30,17.83,17.51,10.77,0.43,-3.35,-3.88,0.66,0.81,0.23,0.19,1.77,1.73,3.47,4.65,10.43,9.32,10.58,7.71,13.98,15.94,8.55,-0.16,-4.55,-8.21,-3.83,-4.19,-3.49,0.38,2.88,2.28,2.36,2.25,3.28,3.27,3.16,10.71,100.0,102.95,108.16,119.84,141.49,160.06,171.64,176.96,186.76,213.96,242.42,285.65,335.68,371.85,373.44,360.92,346.92,349.2,352.03,352.82,353.49,359.77,365.99,378.68,396.31,437.63,478.4,529.04,569.83,649.48,753.03,817.39,816.12,779.0,715.02,687.61,658.84,635.81,638.23,656.62,671.59,687.45,702.94,725.97,749.73,773.42,856.28
New Mexico,.,9.55,15.00,9.85,14.95,9.84,12.86,5.57,5.02,0.35,1.58,3.13,-0.20,-1.77,1.85,1.03,3.15,4.25,5.79,8.76,7.79,2.06,1.99,1.37,1.14,1.83,3.57,3.16,3.58,6.75,12.00,12.90,5.58,-1.01,-4.97,-4.20,-4.28,-2.79,0.98,1.20,1.68,2.78,3.30,3.79,4.78,4.62,11.24,100.0,109.55,125.98,138.39,159.08,174.74,197.22,208.21,218.67,219.43,222.9,229.88,229.43,225.37,229.53,231.9,239.19,249.36,263.78,286.9,309.25,315.61,321.88,326.3,330.03,336.08,348.08,359.08,371.92,397.03,444.67,502.02,530.04,524.68,498.59,477.64,457.17,444.39,448.75,454.12,461.76,474.61,490.27,508.86,533.2,557.82,620.5
New York,.,-4.35,9.85,2.94,13.32,14.98,4.78,10.68,7.17,13.77,15.44,14.76,13.28,8.90,1.35,-0.79,-1.32,1.17,-0.15,-1.76,-0.19,1.57,1.09,4.14,5.29,11.00,7.98,8.54,7.87,11.44,13.15,6.38,0.43,-2.41,-5.56,-2.95,-2.32,-2.34,0.76,2.54,2.83,3.27,4.75,5.42,3.72,3.25,9.21,100.0,95.65,105.07,108.16,122.57,140.92,147.66,163.42,175.14,199.26,230.03,263.99,299.04,325.64,330.05,327.43,323.1,326.86,326.37,320.62,320.0,325.03,328.57,342.17,360.27,399.92,431.82,468.72,505.62,563.45,637.52,678.19,681.1,664.71,627.76,609.23,595.09,581.18,585.62,600.48,617.47,637.65,667.93,704.12,730.34,754.04,823.52
North Carolina,.,4.65,7.96,10.70,10.14,8.59,6.56,2.26,3.69,8.05,6.80,4.54,4.69,4.98,2.93,1.92,1.56,1.77,1.75,3.94,5.67,3.97,4.66,3.64,3.47,4.59,4.11,2.27,1.45,3.21,6.25,7.03,4.85,1.09,-2.94,-5.31,-3.74,-2.51,0.85,2.56,3.78,4.57,5.37,6.29,5.21,3.68,12.48,100.0,104.65,112.97,125.06,137.75,149.58,159.4,163.0,169.01,182.61,195.02,203.88,213.43,224.05,230.61,235.04,238.72,242.93,247.19,256.92,271.49,282.28,295.44,306.21,316.83,331.36,344.98,352.81,357.94,369.43,392.52,420.12,440.49,445.27,432.2,409.25,393.96,384.07,387.33,397.25,412.27,431.12,454.29,482.85,508.03,526.73,592.45
North Dakota,.,12.20,11.57,10.09,12.86,4.09,4.82,-15.90,20.05,4.03,-0.99,-0.65,-0.64,-2.14,2.29,1.02,2.60,2.48,4.71,5.13,5.55,3.72,2.78,3.81,1.81,2.98,3.97,3.96,3.47,6.52,8.17,6.33,4.49,2.51,1.03,1.33,3.21,5.28,8.42,7.75,4.45,2.35,1.16,1.35,2.24,0.99,4.80,100.0,112.2,125.18,137.82,155.54,161.9,169.71,142.73,171.34,178.25,176.48,175.33,174.21,170.49,174.39,176.17,180.75,185.24,193.96,203.91,215.22,223.23,229.43,238.17,242.48,249.72,259.62,269.9,279.27,297.49,321.8,342.16,357.52,366.5,370.29,375.2,387.24,407.67,442.01,476.28,497.49,509.18,515.11,522.07,533.75,539.02,564.9
Ohio,.,7.41,10.49,13.45,12.14,4.03,1.60,-5.41,7.95,2.22,2.06,3.64,5.32,7.41,5.13,4.19,3.52,3.16,3.23,4.07,5.25,4.26,4.31,3.55,3.47,4.63,4.23,2.33,1.65,3.11,3.47,0.66,-1.17,-2.41,-3.12,-3.43,-3.65,-1.65,0.27,3.33,3.46,3.88,4.91,5.72,4.72,4.10,10.97,100.0,107.41,118.68,134.64,151.0,157.08,159.6,150.95,162.95,166.57,170.0,176.19,185.57,199.32,209.55,218.34,226.01,233.15,240.68,250.49,263.64,274.86,286.7,296.89,307.2,321.41,335.01,342.82,348.48,359.3,371.76,374.23,369.86,360.96,349.7,337.72,325.37,320.02,320.89,331.58,343.05,356.35,373.83,395.2,413.84,430.79,478.06
Oklahoma,.,10.93,9.49,21.51,15.51,10.75,9.04,9.74,3.46,-3.17,-3.67,-2.83,-7.15,-8.76,2.89,1.19,3.21,2.77,3.60,3.72,3.67,3.69,3.04,4.11,3.72,4.61,4.92,3.33,2.86,3.89,4.93,4.57,3.88,1.74,-0.15,-0.64,-1.62,0.91,1.67,3.17,3.55,2.39,3.39,2.92,3.68,3.59,9.80,100.0,110.93,121.47,147.6,170.48,188.8,205.88,225.93,233.75,226.35,218.04,211.87,196.73,179.5,184.69,186.89,192.9,198.25,205.4,213.05,220.87,229.02,235.98,245.68,254.81,266.57,279.69,289.01,297.28,308.86,324.09,338.9,352.04,358.18,357.66,355.38,349.61,352.77,358.66,370.02,383.15,392.29,405.6,417.43,432.78,448.33,492.28
Oregon,.,11.04,19.66,18.73,13.96,5.43,-4.40,2.72,1.30,-1.81,-0.99,0.23,0.59,4.24,9.13,13.63,8.79,6.10,7.01,8.45,10.75,6.28,6.55,3.63,2.43,3.78,4.55,3.57,2.96,8.77,16.46,16.06,5.38,-2.71,-9.74,-8.10,-6.81,-1.50,6.15,9.55,7.78,10.85,7.99,6.27,4.30,3.25,13.57,100.0,111.04,132.88,157.77,179.8,189.57,181.23,186.16,188.58,185.18,183.34,183.76,184.85,192.68,210.26,238.92,259.92,275.77,295.1,320.04,354.45,376.72,401.4,415.97,426.09,442.18,462.28,478.81,492.96,536.21,624.44,724.72,763.7,743.03,670.62,616.27,574.29,565.68,600.47,657.83,708.98,785.87,848.65,901.87,940.63,971.21,1103.0
Pennsylvania,.,5.49,5.61,8.04,11.84,4.78,4.03,1.37,5.45,6.15,5.85,7.72,11.97,15.12,6.22,2.13,1.43,1.63,0.96,0.24,1.00,1.66,1.39,2.73,2.50,4.59,5.85,5.50,4.55,9.35,11.39,7.60,2.46,-0.76,-3.28,-2.52,-2.39,-1.73,0.78,1.96,2.19,2.50,3.52,4.34,3.83,3.34,9.78,100.0,105.49,111.41,120.36,134.61,141.04,146.72,148.73,156.84,166.48,176.23,189.83,212.56,244.71,259.92,265.47,269.25,273.63,276.25,276.92,279.68,284.31,288.25,296.11,303.52,317.46,336.05,354.54,370.68,405.34,451.51,485.82,497.79,494.0,477.79,465.75,454.6,446.75,450.22,459.02,469.07,480.8,497.71,519.3,539.21,557.24,611.76
Rhode Island,.,3.78,7.79,13.34,10.85,9.25,6.39,1.41,7.57,7.90,10.98,18.66,25.87,15.64,4.12,-1.46,-3.81,-2.20,-0.95,-1.62,-0.35,0.84,0.71,3.06,3.90,11.85,10.97,14.16,10.91,18.14,14.19,3.99,-2.40,-7.15,-9.53,-4.45,-4.63,-3.69,-0.15,3.08,4.44,4.76,5.91,6.26,4.43,4.38,13.32,100.0,103.78,111.87,126.79,140.54,153.54,163.35,165.66,178.2,192.28,213.39,253.2,318.69,368.53,383.72,378.13,363.74,355.72,352.35,346.65,345.44,348.33,350.8,361.53,375.64,420.15,466.24,532.27,590.35,697.43,796.42,828.2,808.36,750.54,679.04,648.85,618.8,595.99,595.07,613.41,640.64,671.12,710.79,755.3,788.78,823.32,933.02
South Carolina,.,5.48,4.46,10.24,10.36,9.93,9.68,3.79,2.37,3.29,3.62,3.26,3.78,4.36,3.81,2.91,2.29,2.02,1.63,2.25,3.77,3.92,4.34,4.33,4.59,5.32,4.97,2.70,1.93,4.02,7.16,7.34,4.05,0.54,-2.91,-5.42,-3.96,-2.02,0.58,2.93,4.41,4.69,5.39,5.91,4.88,3.26,11.25,100.0,105.48,110.19,121.47,134.06,147.37,161.64,167.75,171.74,177.4,183.82,189.82,197.0,205.58,213.41,219.61,224.65,229.18,232.92,238.15,247.14,256.82,267.96,279.57,292.41,307.97,323.28,332.0,338.39,351.98,377.19,404.86,421.27,423.55,411.21,388.92,373.5,365.95,368.09,378.86,395.56,414.13,436.45,462.24,484.81,500.6,556.93
South Dakota,.,3.34,10.17,12.80,11.65,5.01,-3.03,12.36,-6.52,13.40,-0.95,3.10,1.79,-1.74,3.22,4.34,4.24,4.88,6.47,6.16,5.08,3.46,4.20,3.06,3.21,4.85,4.13,3.40,2.42,5.28,6.78,4.74,3.54,2.17,-0.07,-1.24,-0.15,1.10,3.06,3.34,3.46,4.49,4.89,4.63,4.21,2.90,10.84,100.0,103.34,113.85,128.42,143.38,150.57,146.01,164.06,153.37,173.93,172.27,177.61,180.79,177.65,183.38,191.34,199.45,209.19,222.72,236.44,248.47,257.06,267.86,276.07,284.93,298.74,311.08,321.66,329.45,346.84,370.35,387.89,401.62,410.33,410.06,404.99,404.4,408.83,421.36,435.42,450.48,470.68,493.68,516.55,538.29,553.91,613.98
Tennessee,.,2.78,9.23,11.71,8.42,7.73,3.91,-0.44,8.76,2.67,7.00,5.39,5.63,3.25,1.39,0.48,0.90,2.23,2.62,4.49,6.19,4.58,4.59,3.96,3.12,3.36,3.73,2.25,1.74,3.59,6.37,7.08,4.03,0.15,-2.44,-3.50,-2.65,-1.03,1.53,4.14,4.28,5.54,6.95,6.91,5.43,4.01,13.50,100.0,102.78,112.26,125.4,135.96,146.46,152.19,151.52,164.79,169.19,181.03,190.79,201.53,208.08,210.99,211.99,213.9,218.68,224.4,234.48,248.99,260.41,272.37,283.16,291.98,301.8,313.07,320.12,325.69,337.39,358.86,384.27,399.75,400.37,390.62,376.93,366.95,363.17,368.74,384.0,400.43,422.62,451.98,483.22,509.45,529.85,601.36
Texas,.,8.12,12.41,13.85,16.04,11.24,8.05,7.87,4.29,1.46,-0.54,0.86,-5.82,-6.17,0.94,1.36,2.01,2.89,2.20,1.98,1.55,2.28,2.12,4.20,4.75,6.81,5.77,3.07,1.99,2.17,4.37,5.72,4.69,1.39,-0.42,-1.41,-1.35,0.88,4.11,7.54,6.64,6.90,6.99,5.92,4.48,2.91,12.13,100.0,108.12,121.53,138.37,160.57,178.62,193.01,208.2,217.12,220.29,219.09,220.97,208.11,195.26,197.1,199.78,203.8,209.69,214.31,218.55,221.94,227.0,231.8,241.53,253.01,270.24,285.83,294.59,300.46,306.97,320.4,338.72,354.6,359.52,358.0,352.97,348.2,351.26,365.69,393.28,419.39,448.32,479.66,508.04,530.81,546.27,612.54
Utah,.,11.39,14.27,17.37,14.99,4.73,8.41,3.24,0.55,0.24,2.24,1.02,-1.76,-3.01,2.18,3.27,5.42,5.03,10.74,13.22,13.85,6.84,6.51,3.70,1.36,1.57,3.33,0.81,0.37,2.72,9.74,15.65,11.55,-0.57,-8.54,-7.47,-5.40,0.89,6.47,6.81,4.70,7.46,8.77,8.95,7.38,5.27,18.21,100.0,111.39,127.29,149.4,171.8,179.94,195.06,201.37,202.48,202.97,207.51,209.63,205.93,199.74,204.08,210.75,222.19,233.35,258.42,292.59,333.12,355.91,379.08,393.1,398.46,404.73,418.21,421.61,423.19,434.7,477.02,551.66,615.39,611.89,559.62,517.82,489.86,494.2,526.18,562.01,588.43,632.34,687.83,749.38,804.67,847.05,1001.31
Vermont,.,4.69,6.44,15.81,3.29,11.56,3.74,1.74,3.94,9.28,7.23,8.65,12.17,15.69,8.25,0.88,-1.82,-0.08,0.17,0.27,0.79,0.98,0.76,1.91,4.02,8.54,6.48,5.97,5.25,12.59,13.85,7.80,2.12,-0.13,-3.10,-1.80,-1.07,-0.63,-0.35,0.32,1.54,1.12,2.52,3.31,3.57,3.50,11.99,100.0,104.69,111.42,129.04,133.29,148.69,154.26,156.94,163.13,178.26,191.14,207.67,232.93,269.47,291.7,294.28,288.93,288.71,289.21,289.98,292.27,295.13,297.37,303.03,315.21,342.13,364.31,386.05,406.33,457.5,520.88,561.5,573.43,572.67,554.91,544.9,539.08,535.67,533.8,535.5,543.76,549.85,563.71,582.39,603.2,624.31,699.17
Virginia,.,3.52,8.39,11.39,9.59,11.01,4.77,0.69,9.89,4.64,5.24,4.72,8.22,13.96,8.14,0.98,-0.49,0.94,0.23,0.77,1.45,1.80,2.05,2.12,4.43,8.23,8.04,7.71,5.65,13.60,18.95,10.37,1.94,-4.54,-6.57,-4.26,-2.85,-1.16,1.30,3.08,2.43,2.29,3.19,3.67,3.83,3.27,9.44,100.0,103.52,112.2,124.98,136.96,152.04,159.29,160.39,176.26,184.43,194.1,203.26,219.96,250.66,271.06,273.71,272.37,274.93,275.57,277.7,281.73,286.79,292.68,298.9,312.14,337.84,364.99,393.12,415.34,471.81,561.23,619.44,631.45,602.76,563.16,539.16,523.79,517.73,524.49,540.64,553.77,566.44,584.49,605.92,629.12,649.68,710.99
Washington,.,11.72,15.98,20.89,14.99,9.51,3.58,-9.20,10.96,2.89,2.05,2.17,2.80,5.93,15.12,18.68,6.46,2.89,3.41,4.06,4.13,2.59,4.28,5.52,4.54,6.34,5.25,3.70,2.67,8.86,16.28,15.24,6.65,-1.82,-9.51,-7.74,-6.47,-2.44,4.80,8.06,7.14,10.63,10.08,9.08,5.64,4.90,14.19,100.0,111.72,129.58,156.65,180.13,197.27,204.33,185.53,205.86,211.8,216.14,220.84,227.03,240.5,276.85,328.56,349.8,359.91,372.2,387.33,403.33,413.76,431.45,455.26,475.95,506.1,532.66,552.39,567.14,617.36,717.87,827.29,882.32,866.22,783.83,723.19,676.38,659.84,691.55,747.31,800.7,885.81,975.07,1063.6,1123.61,1178.65,1345.91
West Virginia,.,1.16,26.36,2.64,6.71,13.79,-1.09,-20.06,18.65,-0.50,-1.50,3.58,0.92,0.90,3.22,2.21,3.54,3.05,4.31,5.23,4.23,3.42,3.29,3.42,1.97,2.48,3.83,2.32,2.04,5.30,9.19,5.18,1.84,-0.54,-3.02,-1.83,-1.56,-0.70,1.37,2.57,1.76,1.96,0.93,2.52,2.09,2.36,7.87,100.0,101.16,127.82,131.19,139.98,159.28,157.55,125.95,149.44,148.69,146.46,151.71,153.11,154.48,159.46,162.99,168.76,173.91,181.41,190.89,198.96,205.77,212.53,219.8,224.13,229.7,238.5,244.03,249.01,262.21,286.32,301.16,306.7,305.05,295.84,290.41,285.87,283.88,287.78,295.18,300.37,306.25,309.1,316.9,323.51,331.14,357.19
Wisconsin,.,3.55,14.95,15.94,11.23,4.23,-2.18,-2.04,8.90,0.95,2.25,2.34,1.61,6.15,5.95,4.89,4.27,3.95,4.50,6.88,7.84,3.64,4.57,2.88,4.54,6.41,5.15,3.86,3.27,7.41,8.18,3.50,1.09,-1.24,-3.80,-4.16,-3.23,-1.73,-0.18,1.69,2.78,4.00,5.06,5.49,4.69,2.50,9.81,100.0,103.55,119.03,137.99,153.49,159.98,156.5,153.3,166.95,168.53,172.32,176.35,179.18,190.2,201.53,211.38,220.4,229.1,239.41,255.87,275.94,286.0,299.07,307.69,321.65,342.26,359.9,373.8,386.03,414.62,448.55,464.25,469.3,463.48,445.87,427.34,413.54,406.41,405.66,412.53,424.01,440.97,463.3,488.72,511.67,524.45,575.88
Wyoming,.,16.46,14.60,14.94,22.60,5.96,13.31,1.42,-7.52,-6.00,-3.47,-0.28,-8.58,-8.23,4.64,6.44,5.91,5.42,7.34,8.38,9.00,3.92,3.27,2.98,2.36,4.90,5.64,5.51,4.91,8.70,11.50,12.16,9.14,2.06,-2.41,-3.54,-1.57,1.02,2.23,3.43,3.09,1.91,1.53,3.52,4.36,3.72,9.36,100.0,116.46,133.46,153.4,188.06,199.27,225.8,229.02,211.79,199.08,192.18,191.64,175.21,160.79,168.25,179.1,189.69,199.97,214.64,232.61,253.56,263.49,272.11,280.22,286.84,300.9,317.86,335.37,351.84,382.47,426.44,478.29,522.02,532.79,519.94,501.53,493.65,498.68,509.81,527.32,543.64,554.0,562.49,582.27,607.64,630.24,689.26
